ipl_Mat,ipl_Inns,ipl_NO,ipl_Runs,ipl_HS,ipl_Avg,ipl_BF,ipl_SR,ipl_100,ipl_50,ipl_4s,ipl_6s,Player,Role,Team,Year,Player Origin,Amount
11,11,1,256,86,25.6,212,120.75,0,2,23,8,Jesse Ryder,All-Rounder,Delhi Daredevils,2013,Overseas,19500000
6,6,0,98,41,16.33,93,105.37,0,0,12,0,Michael Clarke,Batsman,Pune Warriors India,2013,Overseas,30000000
11,7,3,58,14,14.5,54,107.4,0,0,4,1,Johan Botha,All-Rounder,Delhi Daredevils,2013,Overseas,33750000
4,4,1,45,24,15,49,91.83,0,0,2,1,Abhishek Nayar,All-Rounder,Pune Warriors India,2013,Indian,50625000
2,2,1,14,11,14,13,107.69,0,0,0,0,James Faulkner,All-Rounder,Rajasthan Royals,2013,Overseas,30000000
2,2,1,6,3,6,11,54.54,0,0,0,0,Glenn Maxwell,All-Rounder,Mumbai Indians,2013,Overseas,75000000
2,2,1,4,4,4,9,44.44,0,0,0,0,Thisara Perera,All-Rounder,Sunrisers Hyderabad,2013,Overseas,50625000
17,17,3,733,95,52.35,566,129.5,0,6,81,17,Michael Hussey,Batsman,Mumbai Indians,2014,Overseas,50000000
19,19,1,510,86,28.33,411,124.08,0,2,54,14,Dinesh Karthik,Wicket Keeper,Delhi Daredevils,2014,Indian,125000000
14,14,0,456,67,32.57,336,135.71,0,4,54,16,Aaron Finch,Batsman,Sunrisers Hyderabad,2014,Overseas,40000000
16,16,0,434,75,27.12,371,116.98,0,2,42,12,Robin Uthappa,Batsman,Kolkata Knight Riders,2014,Indian,50000000
13,13,0,418,68,32.15,341,122.58,0,4,40,19,Dwayne Smith,Batsman,Chennai Super Kings,2014,Overseas,45000000
16,16,3,410,77,31.53,323,126.93,0,4,41,14,David Warner,Batsman,Sunrisers Hyderabad,2014,Overseas,55000000
16,16,5,332,72,30.18,240,138.33,0,1,30,14,Yusuf Pathan,All-Rounder,Kolkata Knight Riders,2014,Indian,32500000
15,15,1,312,55,22.28,286,109.09,0,2,27,8,Murali Vijay,Batsman,Delhi Daredevils,2014,Indian,50000000
16,16,1,311,41,20.73,322,96.58,0,0,35,3,Jacques Kallis,All-Rounder,Kolkata Knight Riders,2014,Overseas,55000000
8,8,0,300,77,37.5,249,120.48,0,3,39,4,Shaun Marsh,Batsman,Kings XI Punjab,2014,Overseas,22000000
13,13,1,295,95,24.58,233,126.6,0,1,41,6,Virender Sehwag,Batsman,Kings XI Punjab,2014,Indian,32000000
